LOST DUTCHMAN'S - STANTON CAMP SITE MASTER UPDATE,,,,,,,
,,,,,,,
,,,,,,,
,,,,LDMA Member,,,Non-Member
CAMP,Site #,Special Type,Site Type,Monthly Rate,Daily Rate,,Daily Rate
Stanton,1,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,2,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,3,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,4,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,5,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,6,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,7,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,8,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,9,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,10,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,11,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,12,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,13,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,14,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,15,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,16,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,17,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,18,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,19,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,20,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,21,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,22,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,23,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,24,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,25,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,26,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,27,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,28,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,29,Premium,50 Amp - Full Hook-Up ,$660 ,$24 ,,$55 
Stanton,30,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,31,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,32,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,33,,50 Amp - Full Hook-Up ,$600 ,$22 ,,$55 
Stanton,35,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,36,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,37,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,38,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
