camp_slug,camp_name,site_code,special_type,site_type,member_rate_monthly,member_rate_daily,non_member_rate_daily,sort_order
burnt-river-oregon,Burnt River,1,,50 Amp w/ Water - 30W X 50 D,540,20,55,1
burnt-river-oregon,Burnt River,2,,50 Amp w/ Water - 30W X 50 D,540,20,55,2
burnt-river-oregon,Burnt River,3,,50 Amp w/ Water- 30W X 50 D,540,20,55,3
burnt-river-oregon,Burnt River,4,,50 Amp w/ Water- 30W X 50 D,540,20,55,4
burnt-river-oregon,Burnt River,5,,50 Amp w/ Water- 30W X 50 D,540,20,55,5
burnt-river-oregon,Burnt River,D1,,Dry Camping,150,6,15,6
burnt-river-oregon,Burnt River,D2,,Dry Camping,150,6,15,7
burnt-river-oregon,Burnt River,D3,,Dry Camping,150,6,15,8
burnt-river-oregon,Burnt River,D4,,Dry Camping,150,6,15,9
burnt-river-oregon,Burnt River,D5,,Dry Camping,150,6,15,10
burnt-river-oregon,Burnt River,D6,,Dry Camping,150,6,15,11
burnt-river-oregon,Burnt River,D7,,Dry Camping,150,6,15,12
burnt-river-oregon,Burnt River,D8,,Dry Camping,150,6,15,13
burnt-river-oregon,Burnt River,D9,,Dry Camping,150,6,15,14
burnt-river-oregon,Burnt River,D10,,Dry Camping,150,6,15,15
burnt-river-oregon,Burnt River,D11,,Dry Camping,150,6,15,16
burnt-river-oregon,Burnt River,D12,,Dry Camping,150,6,15,17
burnt-river-oregon,Burnt River,D13,,Dry Camping,150,6,15,18
burnt-river-oregon,Burnt River,D14,,Dry Camping,150,6,15,19
burnt-river-oregon,Burnt River,D15,,Dry Camping,150,6,15,20
burnt-river-oregon,Burnt River,D16,,Dry Camping,150,6,15,21
burnt-river-oregon,Burnt River,D17,,Dry Camping,150,6,15,22
burnt-river-oregon,Burnt River,D18,,Dry Camping,150,6,15,23
burnt-river-oregon,Burnt River,D19,,Dry Camping,150,6,15,24
burnt-river-oregon,Burnt River,D20,,Dry Camping,150,6,15,25
burnt-river-oregon,Burnt River,D21,,Dry Camping,150,6,15,26
burnt-river-oregon,Burnt River,D22,,Dry Camping,150,6,15,27
burnt-river-oregon,Burnt River,D23,,Dry Camping,150,6,15,28
burnt-river-oregon,Burnt River,D24,,Dry Camping,150,6,15,29
burnt-river-oregon,Burnt River,D25,,Dry Camping,150,6,15,30
burnt-river-oregon,Burnt River,D26,,Dry Camping,150,6,15,31
burnt-river-oregon,Burnt River,D27,,Dry Camping,150,6,15,32
burnt-river-oregon,Burnt River,D28,,Dry Camping,150,6,15,33
burnt-river-oregon,Burnt River,D29,,Dry Camping,150,6,15,34
burnt-river-oregon,Burnt River,D30,,Dry Camping,150,6,15,35
blue-bucket-oregon,Blue Bucket,1,Premium,50 Amp w/ Water - 25W X 40 D,600,22,45,36
blue-bucket-oregon,Blue Bucket,2,,50 Amp w/ Water - 25W X 40 D,540,20,45,37
blue-bucket-oregon,Blue Bucket,3,,30 Amp w/ Water - 25W X 40 D,480,18,45,38
blue-bucket-oregon,Blue Bucket,4,,30 Amp w/ Water - 25W X 40 D,480,18,45,39
blue-bucket-oregon,Blue Bucket,5,,30 Amp w/ Water - 25W X 40 D,480,18,45,40
blue-bucket-oregon,Blue Bucket,6,,50 Amp w/ Water - 25W X 40 D,540,20,45,41
blue-bucket-oregon,Blue Bucket,7,,50 Amp w/ Water - 25W X 40 D,540,20,45,42
blue-bucket-oregon,Blue Bucket,8,,30 Amp w/ Water - 25W X 40 D,480,18,45,43
blue-bucket-oregon,Blue Bucket,9,,30 Amp w/ Water - 25W X 40 D,480,18,45,44
blue-bucket-oregon,Blue Bucket,10,,30 Amp w/ Water - 25W X 40 D,480,18,45,45
blue-bucket-oregon,Blue Bucket,11,,50 Amp w/ Water - 25W X 40 D,540,20,45,46
blue-bucket-oregon,Blue Bucket,12,,30 Amp w/ Water - 25W X 40 D,480,18,45,47
blue-bucket-oregon,Blue Bucket,13,Premium,30 Amp w/ Water - 25W X 40 D,480,18,45,48
blue-bucket-oregon,Blue Bucket,14,Premium,30 Amp - 25W X 40 D,360,14,302,49
blue-bucket-oregon,Blue Bucket,15,,50 Amp  - 25W X 40 D,300,12,30,50
blue-bucket-oregon,Blue Bucket,16,,50 Amp w/ Water - 25W X 40 D,540,20,45,51
blue-bucket-oregon,Blue Bucket,17,,30 Amp w/ Water - 25W X 40 D,480,18,45,52
blue-bucket-oregon,Blue Bucket,18,,30 Amp - 25W X 40 D,300,12,30,53
blue-bucket-oregon,Blue Bucket,19,,30 Amp - 25W X 40 D,300,12,30,54
blue-bucket-oregon,Blue Bucket,20,,30 Amp - 25W X 40 D,300,12,30,55
blue-bucket-oregon,Blue Bucket,21,,30 Amp - 25W X 40 D,300,12,30,56
blue-bucket-oregon,Blue Bucket,22,,30 Amp - 25W X 40 D,300,12,30,57
blue-bucket-oregon,Blue Bucket,23,,30 Amp - 25W X 40 D,300,12,30,58
blue-bucket-oregon,Blue Bucket,24,Premium,30 Amp - 25W X 40 D,360,14,30,59
blue-bucket-oregon,Blue Bucket,D1,,Dry Camping,150,6,15,60
blue-bucket-oregon,Blue Bucket,D2,,Dry Camping,150,6,15,61
blue-bucket-oregon,Blue Bucket,D3,,Dry Camping,150,6,15,62
blue-bucket-oregon,Blue Bucket,D4,,Dry Camping,150,6,15,63
blue-bucket-oregon,Blue Bucket,D5,,Dry Camping,150,6,15,64
blue-bucket-oregon,Blue Bucket,D6,,Dry Camping,150,6,15,65
blue-bucket-oregon,Blue Bucket,D7,,Dry Camping,150,6,15,66
blue-bucket-oregon,Blue Bucket,D8,,Dry Camping,150,6,15,67
blue-bucket-oregon,Blue Bucket,D9,,Dry Camping,150,6,15,68
blue-bucket-oregon,Blue Bucket,D10,,Dry Camping,150,6,15,69
blue-bucket-oregon,Blue Bucket,D11,,Dry Camping,150,6,15,70
blue-bucket-oregon,Blue Bucket,D12,,Dry Camping,150,6,15,71
blue-bucket-oregon,Blue Bucket,D13,,Dry Camping,150,6,15,72
blue-bucket-oregon,Blue Bucket,D14,,Dry Camping,150,6,15,73
blue-bucket-oregon,Blue Bucket,D15,,Dry Camping,150,6,15,74
blue-bucket-oregon,Blue Bucket,D16,,Dry Camping,150,6,15,75
blue-bucket-oregon,Blue Bucket,D17,,Dry Camping,150,6,15,76
blue-bucket-oregon,Blue Bucket,D18,,Dry Camping,150,6,15,77
blue-bucket-oregon,Blue Bucket,D19,,Dry Camping,150,6,15,78
blue-bucket-oregon,Blue Bucket,D20,,Dry Camping,150,6,15,79
blue-bucket-oregon,Blue Bucket,D21,,Dry Camping,150,6,15,80
blue-bucket-oregon,Blue Bucket,D22,,Dry Camping,150,6,15,81
blue-bucket-oregon,Blue Bucket,D23,,Dry Camping,150,6,15,82
blue-bucket-oregon,Blue Bucket,D24,,Dry Camping,150,6,15,83
blue-bucket-oregon,Blue Bucket,D25,,Dry Camping,150,6,15,84
blue-bucket-oregon,Blue Bucket,D26,,Dry Camping,150,6,15,85
blue-bucket-oregon,Blue Bucket,D27,,Dry Camping,150,6,15,86
blue-bucket-oregon,Blue Bucket,D28,,Dry Camping,150,6,15,87
blue-bucket-oregon,Blue Bucket,D29,,Dry Camping,150,6,15,88
blue-bucket-oregon,Blue Bucket,D30,,Dry Camping,150,6,15,89
duisenburg-california,Duisenburg,D1,H/C,Dry Camping,150,6,15,90
duisenburg-california,Duisenburg,D2,H/C,Dry Camping,150,6,15,91
duisenburg-california,Duisenburg,D3,H/C,Dry Camping,150,6,15,92
duisenburg-california,Duisenburg,D4,H/C,Dry Camping,150,6,15,93
duisenburg-california,Duisenburg,D5,H/C,Dry Camping,150,6,15,94
duisenburg-california,Duisenburg,D6,,Dry Camping,150,6,15,95
duisenburg-california,Duisenburg,D7,,Dry Camping,150,6,15,96
duisenburg-california,Duisenburg,D8,,Dry Camping,150,6,15,97
duisenburg-california,Duisenburg,D9,,Dry Camping,150,6,15,98
duisenburg-california,Duisenburg,D10,,Dry Camping,150,6,15,99
duisenburg-california,Duisenburg,D11,,Dry Camping,150,6,15,100
duisenburg-california,Duisenburg,D12,,Dry Camping,150,6,15,101
duisenburg-california,Duisenburg,D13,,Dry Camping,150,6,15,102
duisenburg-california,Duisenburg,D14,,Dry Camping,150,6,15,103
duisenburg-california,Duisenburg,D15,,Dry Camping,150,6,15,104
duisenburg-california,Duisenburg,D16,,Dry Camping,150,6,15,105
duisenburg-california,Duisenburg,D17,,Dry Camping,150,6,15,106
duisenburg-california,Duisenburg,D18,,Dry Camping,150,6,15,107
duisenburg-california,Duisenburg,D19,,Dry Camping,150,6,15,108
duisenburg-california,Duisenburg,D20,,Dry Camping,150,6,15,109
duisenburg-california,Duisenburg,D21,,Dry Camping,150,6,15,110
duisenburg-california,Duisenburg,D22,,Dry Camping,150,6,15,111
duisenburg-california,Duisenburg,D23,,Dry Camping,150,6,15,112
duisenburg-california,Duisenburg,D24,,Dry Camping,150,6,15,113
duisenburg-california,Duisenburg,D25,,Dry Camping,150,6,15,114
duisenburg-california,Duisenburg,D26,,Dry Camping,150,6,15,115
duisenburg-california,Duisenburg,D27,,Dry Camping,150,6,15,116
duisenburg-california,Duisenburg,D28,,Dry Camping,150,6,15,117
duisenburg-california,Duisenburg,D29,,Dry Camping,150,6,15,118
duisenburg-california,Duisenburg,D30,,Dry Camping,150,6,15,119
duisenburg-california,Duisenburg,D31,,Dry Camping,150,6,15,120
duisenburg-california,Duisenburg,D32,,Dry Camping,150,6,15,121
duisenburg-california,Duisenburg,D33,,Dry Camping,150,6,15,122
duisenburg-california,Duisenburg,D34,,Dry Camping,150,6,15,123
duisenburg-california,Duisenburg,D35,,Dry Camping,150,6,15,124
italian-bar-california,Italian Bar,D1,,Dry Camping,150,6,15,125
italian-bar-california,Italian Bar,D2,,Dry Camping,150,6,15,126
italian-bar-california,Italian Bar,D3,,Dry Camping,150,6,15,127
italian-bar-california,Italian Bar,D4,,Dry Camping,150,6,15,128
italian-bar-california,Italian Bar,D5,,Dry Camping,150,6,15,129
italian-bar-california,Italian Bar,D6,,Dry Camping,150,6,15,130
italian-bar-california,Italian Bar,D7,,Dry Camping,150,6,15,131
italian-bar-california,Italian Bar,D8,,Dry Camping,150,6,15,132
italian-bar-california,Italian Bar,D9,,Dry Camping,150,6,15,133
italian-bar-california,Italian Bar,D10,,Dry Camping,150,6,15,134
italian-bar-california,Italian Bar,D11,,Dry Camping,150,6,15,135
