name,site_type,sort_order,member_rate_daily,non_member_rate_daily,notes
Hookup Site 1,rv,1,18,40,30 and 50 amp + water
Hookup Site 2,rv,2,18,40,30 and 50 amp + water
Hookup Site 3,rv,3,18,40,30 and 50 amp + water
Hookup Site 4,rv,4,18,40,30 and 50 amp + water
Dry Site 1,rv or tent,5,6,15,Dry no hookups
Dry Site 2,rv or tent,6,6,15,Dry no hookups
Dry Site 3,rv or tent,7,6,15,Dry no hookups
Dry Site 4,rv or tent,8,6,15,Dry no hookups
Dry Site 5,rv or tent,9,6,15,Dry no hookups
Dry Site 6,rv or tent,10,6,15,Dry no hookups
Dry Site 7,rv or tent,11,6,15,Dry no hookups
Dry Site 8,rv or tent,12,6,15,Dry no hookups
Dry Site 9,rv or tent,13,6,15,Dry no hookups
Dry Site 10,rv or tent,14,6,15,Dry no hookups
Dry Site 11,rv or tent,15,6,15,Dry no hookups
Dry Site 12,rv or tent,16,6,15,Dry no hookups
Dry Site 13,rv or tent,17,6,15,Dry no hookups
Dry Site 14,rv or tent,18,6,15,Dry no hookups
Dry Site 15,rv or tent,19,6,15,Dry no hookups
Dry Site 16,rv or tent,20,6,15,Dry no hookups
Dry Site 17,rv or tent,21,6,15,Dry no hookups
Dry Site 18,rv or tent,22,6,15,Dry no hookups
Dry Site 19,rv or tent,23,6,15,Dry no hookups
Dry Site 20,rv or tent,24,6,15,Dry no hookups
Dry Site 21,rv or tent,25,6,15,Dry no hookups
Dry Site 22,rv or tent,26,6,15,Dry no hookups
Dry Site 23,rv or tent,27,6,15,Dry no hookups
Dry Site 24,rv or tent,28,6,15,Dry no hookups
Dry Site 25,rv or tent,29,6,15,Dry no hookups
Dry Site 26,rv or tent,30,6,15,Dry no hookups
Dry Site 27,rv or tent,31,6,15,Dry no hookups
Dry Site 28,rv or tent,32,6,15,Dry no hookups
Dry Site 29,rv or tent,33,6,15,Dry no hookups
Dry Site 30,rv or tent,34,6,15,Dry no hookups
Dry Site 31,rv or tent,35,6,15,Dry no hookups
Dry Site 32,rv or tent,36,6,15,Dry no hookups
Dry Site 33,rv or tent,37,6,15,Dry no hookups
Dry Site 34,rv or tent,38,6,15,Dry no hookups
Dry Site 35,rv or tent,39,6,15,Dry no hookups
Dry Site 36,rv or tent,40,6,15,Dry no hookups
Dry Site 37,rv or tent,41,6,15,Dry no hookups
Dry Site 38,rv or tent,42,6,15,Dry no hookups
Dry Site 39,rv or tent,43,6,15,Dry no hookups
Dry Site 40,rv or tent,44,6,15,Dry no hookups
